trip_id,drone_id,type_id,battery_id,box_id,destination,category,mass_kg,volume_m3,first,hard_due_s,desired_due_s,priority,arrival_s,handover_start_s,delivery_complete_s,lateness_s
T007,U08,C,BAT-C-04,S002-WAT-04,S002,饮用水,14,0.027,False,,3600,12,2998.891457155531,2998.891457155531,3394.891457155531,0
T007,U08,C,BAT-C-04,S002-FOD-02,S002,应急食品,8,0.028,False,,7200,10,2998.891457155531,2998.891457155531,3394.891457155531,0
T007,U08,C,BAT-C-04,S002-WAT-02,S002,饮用水,14,0.027,False,,3600,12,2998.891457155531,2998.891457155531,3394.891457155531,0
T008,U06,B,BAT-B-03,S012-WAT-01,S012,饮用水,14,0.027,True,3600.0,3600,12,2541.767558277965,2541.767558277965,2781.767558277965,0
T008,U06,B,BAT-B-03,S012-MED-01,S012,医疗物资,3,0.012,True,3600.0,7200,22,2541.767558277965,2541.767558277965,2781.767558277965,0
T008,U06,B,BAT-B-03,S012-FOD-01,S012,应急食品,8,0.028,False,,7200,10,2541.767558277965,2541.767558277965,2781.767558277965,0
T009,U02,A,BAT-A-02,S015-MED-01,S015,医疗物资,3,0.012,True,7200.0,7200,18,1047.7421681947474,1047.7421681947474,1257.7421681947474,0
T009,U02,A,BAT-A-02,S015-FOD-01,S015,应急食品,8,0.028,False,,14400,6,1047.7421681947474,1047.7421681947474,1257.7421681947474,0
T010,U03,A,BAT-A-03,S008-WAT-02,S008,饮用水,14,0.027,False,,7200,10,1155.7997310622477,1155.7997310622477,1365.7997310622477,0
T010,U03,A,BAT-A-03,S008-MED-01,S008,医疗物资,3,0.012,True,7200.0,7200,20,1155.7997310622477,1155.7997310622477,1365.7997310622477,0
T011,U07,C,BAT-C-01,S004-WAT-01,S004,饮用水,14,0.027,True,7200.0,7200,10,4180.892885180716,4180.892885180716,4576.892885180716,0
T011,U07,C,BAT-C-01,S004-MED-01,S004,医疗物资,3,0.012,True,7200.0,7200,20,4180.892885180716,4180.892885180716,4576.892885180716,0
T011,U07,C,BAT-C-01,S004-FOD-01,S004,应急食品,8,0.028,False,,10800,8,4180.892885180716,4180.892885180716,4576.892885180716,0
T011,U07,C,BAT-C-01,S004-WAT-02,S004,饮用水,14,0.027,False,,7200,10,4180.892885180716,4180.892885180716,4576.892885180716,0
T011,U07,C,BAT-C-01,S004-HYG-01,S004,生活卫生用品,6,0.035,False,,14400,6,4180.892885180716,4180.892885180716,4576.892885180716,0
T011,U07,C,BAT-C-01,S004-WAT-03,S004,饮用水,14,0.027,False,,7200,10,4180.892885180716,4180.892885180716,4576.892885180716,0
T012,U08,C,BAT-C-02,S003-MED-01,S003,医疗物资,3,0.012,True,7200.0,7200,20,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-WAT-01,S003,饮用水,14,0.027,True,7200.0,7200,10,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-WAT-04,S003,饮用水,14,0.027,False,,7200,10,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-WAT-03,S003,饮用水,14,0.027,False,,7200,10,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-FOD-01,S003,应急食品,8,0.028,False,,10800,8,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-HYG-01,S003,生活卫生用品,6,0.035,False,,14400,6,5294.903038643425,5294.903038643425,5726.903038643425,0
T012,U08,C,BAT-C-02,S003-FOD-02,S003,应急食品,8,0.028,False,,10800,8,5294.903038643425,5294.903038643425,5726.903038643425,0
T013,U05,B,BAT-B-04,S011-WAT-01,S011,饮用水,14,0.027,True,10800.0,10800,8,2536.1506863415125,2536.1506863415125,2776.1506863415125,0
T013,U05,B,BAT-B-04,S011-MED-01,S011,医疗物资,3,0.012,True,10800.0,10800,16,2536.1506863415125,2536.1506863415125,2776.1506863415125,0
T013,U05,B,BAT-B-04,S011-FOD-01,S011,应急食品,8,0.028,False,,14400,6,2536.1506863415125,2536.1506863415125,2776.1506863415125,0
T014,U05,B,BAT-B-02,S009-WAT-01,S009,饮用水,14,0.027,True,10800.0,10800,8,3908.9869684278783,3908.9869684278783,4148.986968427878,0
T014,U05,B,BAT-B-02,S009-MED-01,S009,医疗物资,3,0.012,True,10800.0,10800,16,3908.9869684278783,3908.9869684278783,4148.986968427878,0
T014,U05,B,BAT-B-02,S009-FOD-01,S009,应急食品,8,0.028,False,,14400,6,3908.9869684278783,3908.9869684278783,4148.986968427878,0
T015,U07,C,BAT-C-03,S005-WAT-01,S005,饮用水,14,0.027,True,10800.0,10800,8,6181.6859975751,6181.6859975751,6469.6859975751,0
T015,U07,C,BAT-C-03,S005-WAT-02,S005,饮用水,14,0.027,False,,10800,8,6181.6859975751,6181.6859975751,6469.6859975751,0
T015,U07,C,BAT-C-03,S005-HYG-01,S005,生活卫生用品,6,0.035,False,,18000,4,6181.6859975751,6181.6859975751,6469.6859975751,0
T016,U04,A,BAT-A-04,S001-WAT-03,S001,饮用水,14,0.027,False,,3600,12,698.5739059655778,698.5739059655778,908.5739059655778,0
T016,U04,A,BAT-A-04,S001-FOD-03,S001,应急食品,8,0.028,False,,7200,10,698.5739059655778,698.5739059655778,908.5739059655778,0
T017,U06,B,BAT-B-01,S002-FOD-01,S002,应急食品,8,0.028,False,,7200,10,4414.170463643284,4414.170463643284,4624.170463643284,0
T017,U06,B,BAT-B-01,S002-HYG-01,S002,生活卫生用品,6,0.035,False,,10800,8,4414.170463643284,4414.170463643284,4624.170463643284,0
T018,U04,A,BAT-A-05,S001-WAT-02,S001,饮用水,14,0.027,False,,3600,12,1949.4750512300661,1949.4750512300661,2159.475051230066,0
T018,U04,A,BAT-A-05,S001-FOD-01,S001,应急食品,8,0.028,False,,7200,10,1949.4750512300661,1949.4750512300661,2159.475051230066,0
T019,U01,A,BAT-A-06,S006-FOD-01,S006,应急食品,8,0.028,False,,7200,10,2380.3653649534203,2380.3653649534203,2560.3653649534203,0
T019,U01,A,BAT-A-06,S003-WAT-02,S003,饮用水,14,0.027,False,,7200,10,3205.854469716503,3205.854469716503,3385.854469716503,0
T020,U02,A,BAT-A-04,S001-WAT-05,S001,饮用水,14,0.027,False,,3600,12,2819.9243824979653,2819.9243824979653,3029.9243824979653,0
T020,U02,A,BAT-A-04,S001-FOD-02,S001,应急食品,8,0.028,False,,7200,10,2819.9243824979653,2819.9243824979653,3029.9243824979653,0
T021,U03,A,BAT-A-01,S001-WAT-06,S001,饮用水,14,0.027,False,,3600,12,3418.156131192169,3418.156131192169,3598.156131192169,0
T021,U03,A,BAT-A-01,S010-FOD-01,S010,应急食品,8,0.028,False,,7200,10,4021.463562780078,4021.463562780078,4201.463562780078,0
T022,U05,B,BAT-B-04,S005-FOD-01,S005,应急食品,8,0.028,False,,14400,6,5447.462189777541,5447.462189777541,5627.462189777541,0
T022,U05,B,BAT-B-04,S008-HYG-01,S008,生活卫生用品,6,0.035,False,,14400,6,5925.759612391748,5925.759612391748,6105.759612391748,0
T023,U04,A,BAT-A-02,S005-MED-01,S005,医疗物资,3,0.012,True,10800.0,10800,16,4078.577473382821,4078.577473382821,4288.577473382821,0
T023,U04,A,BAT-A-02,S005-WAT-03,S005,饮用水,14,0.027,False,,10800,8,4078.577473382821,4078.577473382821,4288.577473382821,0
T024,U06,B,BAT-B-03,S001-HYG-02,S001,生活卫生用品,6,0.035,False,,10800,8,5940.232522008749,5940.232522008749,6150.232522008749,0
T024,U06,B,BAT-B-03,S001-HYG-01,S001,生活卫生用品,6,0.035,False,,10800,8,5940.232522008749,5940.232522008749,6150.232522008749,0
T025,U02,A,BAT-A-05,S008-WAT-01,S008,饮用水,14,0.027,True,7200.0,7200,10,4528.051352859124,4528.051352859124,4738.051352859124,0
T025,U02,A,BAT-A-05,S008-FOD-01,S008,应急食品,8,0.028,False,,10800,8,4528.051352859124,4528.051352859124,4738.051352859124,0
T026,U01,A,BAT-A-03,S015-WAT-01,S015,饮用水,14,0.027,True,10800.0,10800,8,5256.950315666685,5256.950315666685,5436.950315666685,0
